ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
text = ... [si pava]tasi [D]e[v]ā[na]ṃp[iy] ... [nā lājina l]i[kha] ...,,,,,,,,,,,,,
1,...,...,X,,,9,orphan,,,,,,
2,si,?,NOUN,,Case=Loc|Gender=Masc|Number=Sing,3,compound,,,,,,
3,pavatasi,pavata,NOUN,,Case=Loc|Gender=Masc|Number=Sing,9,obl,,Orig=[pava]tasi,,,,
4-5,Devānaṃpiy,,,,,,,,Orig=[D]e[v]ā[na]ṃp[iy],,,,
4,devānaṃ,deva,NOUN,,Case=Gen|Gender=Masc|Number=Plur,4,nmod,,Orig=[d]e[v]ā[na]ṃ,,,,
5,piy,piya,ADJ,,,8,nmod:desc,,Orig=p[iy],,,,
6,...,...,X,,,7,orphan,,,,,,
7,nā,?,ADJ,,Case=Inst|Gender=Masc|Number=Sing,8,nmod:desc,,Orig=[nā],,,,
8,lājina,lājan,NOUN,,Case=Inst|Gender=Masc|Number=Sing,9,nsubj,,Orig=[lājina],,,,
9,likha,likha,VERB,,,0,root,,Orig=[l]i[kha],,,,
10,...,...,X,,,9,orphan,,,,,,
,,,,,,,,,,,,,
text = ... [ī]vaṃ ālabhitu pajo[h] ...,,,,,,,,,,,,,
1,...,...,X,,,4,orphan,,,,,,
2,īvaṃ,?,NOUN,,Case=Acc|Gender=Neut|Number=Sing,3,obj,,Orig=[ī]vaṃ,,,,
3,ālabhitu,ālabha,VERB,,VerbForm=Conv,4,advcl,,,,,,
4,pajoh,pajoha,VERB,,,0,root,,Orig=pajo[h],,,,
5,...,...,X,,,4,orphan,,,,,,
,,,,,,,,,,,,,
text = / [no pi ca sam]ā[je] ...,,,,,,,,,,,,,
1,no,no,PART,,Polarity=Neg,4,orphan,,Orig=[no],,,,
2,pi,pi,ADV,,_,4,orphan,,Orig=[pi],,,,
3,ca,ca,CCONJ,,_,4,orphan,,Orig=[ca],,,,
4,samāje,samāja,NOUN,,Case=Nom|Gender=Masc|Number=Sing,0,root,,Orig=[sam]ā[je],,,,
5,...,...,X,,,4,orphan,,,,,,
