ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
text = iyaṃ dhaṃma-lipi Khepi[ṃ]galasi pavatasi Devānaṃpiyena Piyadasinā lājinā likhāpitā,,,,,,,,,,,,,
1,iyaṃ,iyaṃ,DET,_,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,3,det,_,Gloss=this,this.ɴᴏᴍ.ꜰ.sɢ,iyaṃ,587,link
2-3,dhaṃma-lipi,_,_,_,_,_,_,_,_,rescript_on_morality:ɴᴏᴍ.ꜰ.sɢ,_,_,_
2,dhaṃma,dhaṃma,NOUN,_,Compound=Yes|Gender=Masc,3,compound,_,Gloss=morality,_,dʰárma-,6753,link
3,lipi,lipi,NOUN,_,Case=Nom|Gender=Fem|Number=Sing,11,obj,_,Gloss=rescript,_,lipi-,11058,link
4,Khepiṃgalasi,Khepiṃgala,PROPN,_,Case=Loc|Gender=Masc|Number=Sing,5,compound,_,Gloss=on-Khepiṅgala|Orig=Khepi[ṃ]galasi,Khepingala:ʟᴏᴄ.ᴍ.sɢ,,,_
5,pavatasi,pavata,NOUN,_,Case=Loc|Gender=Masc|Number=Sing,11,obl  ,_,Gloss=on-mountain,mountain:ʟᴏᴄ.ᴍ.sɢ,párvata-,7945,link
6-7,Devānaṃpiyena,_,_,_,_,_,_,_,_,beloved_of_the_Gods:ɪɴsᴛ.ᴍ.sɢ,_,_,_
6,devānaṃ,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,7,nmod,_,Gloss=of-the-Gods,_,dēvá-,6523,link
7,piyena,piya,ADJ,_,Case=Inst|Gender=Masc|Number=Sing,10,nmod:desc,_,Gloss=beloved,_,priyá-,8974,link
8-9,Piyadasinā,_,_,_,_,_,_,_,_,friendly_looking:ɪɴsᴛ.ᴍ.sɢ,_,_,_
8,piya,piya,ADJ,_,Compound=Yes|Gender=Masc,9,amod,_,Gloss=friendly,_,priyá-,8974,link
9,dasinā,dasin,ADJ,_,Case=Inst|Gender=Masc|Number=Sing,10,nmod:desc,_,Gloss=looking,_,darśin-,,_
10,lājinā,lājan,NOUN,_,Case=Inst|Gender=Masc|Number=Sing,11,nsubj,_,Gloss=by-king,king:ɪɴsᴛ.ᴍ.sɢ,rā́jan-,10679,link
