ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
text = iyaṃ dhaṃma-lipi Devānaṃpiyena Piyadas[i]nā [lekhit]ā,,,,,,,,,,,,,
1,iyaṃ,iyaṃ,DET,_,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,3,det,_,Gloss=this,this.ɴᴏᴍ.ꜰ.sɢ,iyaṃ,587,link
2-3,dhaṃma-lipi,_,_,_,_,_,_,_,_,rescript_on_morality:ɴᴏᴍ.ꜰ.sɢ,_,_,_
2,dhaṃma,dhaṃma,NOUN,_,Compound=Yes|Gender=Masc,3,compound,_,Gloss=morality,_,dʰárma-,6753,link
3,lipi,lipi,NOUN,_,Case=Nom|Gender=Fem|Number=Sing,8,obj,_,Gloss=rescript,_,lipi-,11058,link
4-5,Devānaṃpiyena,_,_,_,_,_,,_,_,beloved_of_the_Gods:ɪɴsᴛ.ᴍ.sɢ,_,_,_
4,devānaṃ,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,5,nmod,_,Gloss=of-the-Gods,_,dēvá-,6523,link
5,piyena,piya,ADJ,_,Case=Inst|Gender=Masc|Number=Sing,7,nmod:desc,_,Gloss=beloved,_,priyá-,8974,link
6-7,Piyadasinā,_,_,_,_,_,,_,_,friendly_looking:ɪɴsᴛ.ᴍ.sɢ,_,_,_
6,piya ,piya,ADJ,_,Compound=Yes|Gender=Masc,7,amod,_,Gloss=friendly,_,priyá-,8974,link
7,dasinā,dasin,ADJ,_,Case=Ins|Gender=Masc|Number=Sing,8,nsubj,_,Gloss=looking|Orig=das[i]nā,_,darśin-,,_
8,lekhitā,lekha,VERB,_,"Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Cau,Pass",0,root,_,Gloss=has-been-caused-to-be-written|Orig=[lekhit]ā,write.ᴄᴀᴜs:ᴘᴘᴘ:ɴᴏᴍ.ꜰ.sɢ,lēkʰayati,11104,link
,,,,,,,,,,,,,
text = [h]idā no kichi jive ālabhitu pajohitaviye,,,,,,,,,,,,,
1,hidā,hida,ADV,_,AdvType=Loc,6,advmod:tmod,_,Gloss=here|Orig=[h]idā,here,idʰá,1605,link
2,no,no,PART,_,Polarity=Neg,6,advmod,_,Gloss=not,ɴᴇɢ,nṓ,7607,link
3,kici,kici,DET,_,PronType=Ind,4,det,_,Gloss=any,any,kíṃcid-,3144,link
4,jive,jiva,NOUN,_,Case=Nom|Gender=Neut|Number=Sing,5,obj,_,Gloss=living-being,living_being:ɴᴏᴍ.ɴ.sɢ,jīvá,5239,link
5,ālabhitu,ālabha,VERB,_,VerbForm=Conv,6,advcl,_,Gloss=be-killed-and,kill:ᴄɴᴠ,ā́rabʰatē,1305,link
6,pajohitaviye,pajoha,VERB,_,Case=Nom|Gender=Neut|Number=Sing|Tense=Future|VerbForm=Part|Voice=Pass,0,root,_,Gloss=must-be-sacrificed,sacrifice.ᴏᴠᴀ:ɴᴏᴍ.ɴ.sɢ,pra-juhvati,,_
,,,,,,,,,,,,,
text = / no pi c[a] samāje kaṭaviye,,,,,,,,,,,,,
1,no,no,PART,_,Polarity=Neg,5,advmod,_,Gloss=not,ɴᴇɢ,nṓ,7607,link
2,pi,pi,ADV,_,_,1,advmod:emph,_,Gloss=also,=ᴇᴍᴘʜ,ápi,485,link
3,ca,ca,CCONJ,_,_,1,cc,_,Gloss=and|Orig=c[a],=and,ca,4533,link
4,samāje,samāja,NOUN,_,Case=Nom|Gender=Masc|Number=Sing,5,obj,_,Gloss=festival_meeting,festival_meeting:ɴᴏᴍ.ᴍ.sɢ,samāja-,13207,link
