ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
text = ayi dhra[ma]dip[i] Devanaṃ[priye]na Priya[draśina rajina li]khapita,,,,,,,,,,,,,
1,ayi,ayi,DET,_,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,3,det,_,_,this.ɴᴏᴍ.ꜰ.sɢ,ayáṃ,587,link
2-3,dhramadipi,_,_,_,_,_,,_,_,rescript_on_morality:ɴᴏᴍ.ꜰ.sɢ,_,_,_
2,dhrama,dhrama,NOUN,_,Compound=Yes|Gender=Masc,3,compound,_,Orig=dhra[ma],_,dʰárma-,6753,link
3,dipi,dipi,NOUN,_,Case=Nom|Gender=Fem|Number=Sing,9,obj,_,Orig=dip[i],_,dipi-,11058,link
4-5,Devanaṃpriyena,_,_,_,_,_,_,_,_,beloved_of_the_Gods:ɪɴsᴛ.ᴍ.sɢ,_,_,_
4,devanam,deva,NOUN,_,Case=Gen|Gender=Masc|Number=Plur,5,nmod,_,,_,dēvá-,6523,link
5,priyena,priya,ADJ,_,Case=Inst|Gender=Masc|Number=Sing,8,nmod:desc,_,Orig=[priye]na,_,priyá-,8974,link
6-7,Priyadraśina,_,,_,_,_,_,_,_,friendly_looking:ɪɴsᴛ.ᴍ.sɢ,_,_,_
6,priya ,priya,ADJ,_,Compound=Yes|Gender=Masc,7,amod,_,,_,priyá-,8974,link
7,draśina,draśin,ADJ,_,Case=Ins|Gender=Masc|Number=Sing,8,nmod:desc,_,Orig=[draśina],_,darśin-,,_
8,rajina,rajan,NOUN,_,Case=Ins|Gender=Masc|Number=Sing,9,nsubj,_,Orig=[rajina],king:ɪɴsᴛ.ᴍ.sɢ,rā́jan-,10679,link
9,likhapita,likhapaya,VERB,_,"Case=Nom|Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Cau,Pass",0,root,_,Orig=[li]khapita,write.ᴄᴀᴜs:ᴘᴘᴘ:ɴᴏᴍ.ꜰ.sɢ,likʰáti,11048,link
,,,,,,,,,,,,,
text = hi[da] no kichi ji[ve] ara[bhitu] pra[johi]/taviye,,,,,,,,,,,,,
1,hida,hida,ADV,_,AdvType=Loc,6,advmod,_,Orig=hi[da],here,idʰá,1605,link
2,no,no,PART,_,Polarity=Neg,6,advmod,_,,ɴᴇɢ,nṓ,7607,link
3,kichi,kichi,DET,_,PronType=Ind,4,det,_,,any,kíṃcid-,2967,link
4,jive,jiva,NOUN,_,Case=Nom|Gender=Neut|Number=Sing,5,obj,_,Orig=ji[ve],living_being:ɴᴏᴍ.ɴ.sɢ,jīvá,5239,link
5,arabhitu,arabha,VERB,_,VerbForm=Conv,6,advcl,_,Orig=ara[bhitu],kill:ᴄɴᴠ,ā́rabʰatē,1305,link
6,prajohitaviye,prajoha,VERB,_,Case=Nom|Gender=Neut|Number=Sing|Tense=Future|VerbForm=Part|Voice=Pass,0,root,_,Orig=pra[johi]taviye,sacrifice.ᴏᴠᴀ:ɴᴏᴍ.ɴ.sɢ,pra-juhvati,,_
,,,,,,,,,,,,,
text = no pi [ca] samaj[e] kaṭaviye,,,,,,,,,,,,,
1,no,no,PART,_,Polarity=Neg,5,advmod,_,,ɴᴇɢ,nṓ,7607,_
2,pi,pi,ADV,_,_,5,advmod:emph,_,,=ᴇᴍᴘʜ,ápi,485,link
3,ca,ca,CCONJ,_,_,5,cc,_,Orig=[ca],=and,ca,4533,link
4,samaje,samaja,NOUN,_,Case=Nom|Gender=Masc|Number=Sing,5,obj,_,Orig=samaj[e],festival_meeting:ɴᴏᴍ.ᴍ.sɢ,samāja-,13207,link
5,kaṭaviye,karo,VERB,_,Case=Nom|Gender=Masc|Number=Sing|Tense=Future|VerbForm=Part|Voice=Pass,0,root,_,,do.ᴏᴠᴀ:ɴᴏᴍ.ᴍ.sɢ,kr̩tá-,2814,link
,,,,,,,,,,,,,
