ID,FORM,LEMMA,UPOS,XPOS,FEATS,HEAD,DEPREL,DEPS,MISC,GLOSS,ETYMO,CDIAL,JAMBU
text = Devanaṃpriyo Priyadraśi raja ahati,,,,,,,,,,,,,
1-2,Devanaṃpriyo,,_,,,,,,,,,,
1,devanaṃ,deva,NOUN,,Case=Gen|Gender=Masc|Number=Plur,2,nmod,,,,,,
2,priyo,priya,ADJ,,Case=Nom|Gender=Masc|Number=Sing,5,nmod:desc,,,,,,
3-4,Priyadraśi,,_,,,,,,,,,,
3,priya,priya,ADJ,,Compound=Yes|Gender=Masc,4,amod,,,,,,
4,draśi,draśin,ADJ,,Case=Nom|Gender=Masc|Number=Sing,5,nmod:desc,,,,,,
5,raja,rajan,NOUN,,Case=Nom|Gender=Masc|Number=Sing,6,nsubj,,,,,,
6,ahati,aha,VERB,,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,0,root,,,,,,
,,,,,,,,,,,,,
text = badaya-vaśabh[i]si[tena] ...... [a]ṇapi[taṃ],,,,,,,,,,,,,
1-3,badaya-vaśabhisitena,,,,,,,,Orig=vaśabh[i]si[tena],,,,
1,badaya,badaya,NUM,,NumType=Card|Compound=Yes,2,nummod,,,,,,
2,vaśa,vaśa,NOUN,,Compound=Yes|Gender=Masc,3,obl:tmod,,,,,,
3,abhisitena,abhisiñca,VERB,,Case=Ins|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,5,orphan,,Orig=abh[i]si[tena],,,,
4,...,,X,,,5,orphan,,,,,,
5,aṇapitaṃ,aṇa,VERB,,"Case=Nom|Gender=Neut|Number=Sing|Tense=Past|VerbForm=Part|Voice=Cau,Pass",0,root,,Orig=[a]ṇapi[taṃ],,,,
